,Country.of.Origin,Bag.Weight,Variety,Processing.Method,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Grade,altitude_mean_km
140,Mexico,1 kg,Typica,Washed / Wet,0.13,0,0,,3,Specialty Grade,1.2
141,Uganda,60 kg,Other,Washed / Wet,0.11,0,0,Blue-Green,3,Specialty Grade,1.8
142,Peru,60 kg,,,0,0,0,,3,Specialty Grade,0
143,Ethiopia,6,,,0.2,0,0,,3,Specialty Grade,1.8
144,Kenya,60 kg,SL34,Washed / Wet,0.11,0,0,Blue-Green,5,Specialty Grade,1.8
145,Colombia,70 kg,Other,Washed / Wet,0,0,0,Blue-Green,4,Specialty Grade,1.5
146,Colombia,70 kg,Caturra,Washed / Wet,0,0,1,Green,5,Specialty Grade,0
147,Kenya,60 kg,Peaberry,Washed / Wet,0.1,0,0,Bluish-Green,2,Specialty Grade,1.8
148,Guatemala,69 kg,Pacas,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,0.5
149,Guatemala,69 kg,Bourbon,Washed / Wet,0.09,0,0,Green,0,Specialty Grade,0.4
150,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,,0,Specialty Grade,1.6
151,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,,5,Specialty Grade,1.8
152,Kenya,660 kg,SL28,Washed / Wet,0,0,0,Green,0,Specialty Grade,0
153,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Green,2,Specialty Grade,1.8
154,Costa Rica,1 kg,Bourbon,Semi-washed / Semi-pulped,0.12,0,0,Bluish-Green,2,Specialty Grade,1.6
155,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,6,Specialty Grade,1.8
156,Brazil,60 kg,Bourbon,Semi-washed / Semi-pulped,0.12,0,0,Green,2,Specialty Grade,1.3
157,Brazil,60 kg,Catuai,Semi-washed / Semi-pulped,0.11,0,0,Blue-Green,1,Specialty Grade,1.1
158,Costa Rica,18975 kg,Caturra,Washed / Wet,0.1,0,0,Bluish-Green,2,Specialty Grade,1.2
159,Uganda,12000 kg,SL14,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,1.8
160,China,60 kg,Catimor,Washed / Wet,0.1,0,0,Green,1,Specialty Grade,1.7
161,Costa Rica,1 lbs,Caturra,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,1.7
162,Colombia,2 kg,Other,Washed / Wet,0.12,1,0,Green,0,Specialty Grade,1.8
163,China,2 kg,Other,Washed / Wet,0,0,0,Green,2,Specialty Grade,1.1
164,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,0.4
165,Kenya,60 kg,SL28,Washed / Wet,0.11,0,0,Blue-Green,0,Specialty Grade,2
166,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1.4
167,Mexico,1 kg,Typica,Washed / Wet,0.11,0,0,,4,Specialty Grade,1.5
168,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,0
169,Brazil,60 kg,,,0,0,0,,4,Specialty Grade,0
170,Brazil,60 kg,,,0,2,0,,0,Specialty Grade,0
171,Costa Rica,69 kg,Caturra,Washed / Wet,0.1,0,0,Blue-Green,3,Specialty Grade,1.3
172,Indonesia,30 kg,Mandheling,Other,0,0,0,Blue-Green,3,Specialty Grade,1.4
173,Colombia,35 kg,Caturra,Natural / Dry,0,0,0,Green,1,Specialty Grade,0
174,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Green,3,Specialty Grade,1.8
175,Taiwan,2 kg,Typica,Washed / Wet,0.11,0,0,Blue-Green,0,Specialty Grade,1.2
176,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0.11,0,0,Blue-Green,1,Specialty Grade,0
177,Mexico,1 kg,Pacamara,Washed / Wet,0.12,2,0,,4,Specialty Grade,0.9
178,Ethiopia,6 kg,,,0.2,0,0,,2,Specialty Grade,0
179,Kenya,60 kg,SL28,Washed / Wet,0.11,0,0,Green,4,Specialty Grade,1.8
180,Honduras,66 kg,Caturra,,0.1,0,0,Green,3,Specialty Grade,1.5
181,Colombia,70 kg,Caturra,Washed / Wet,0,0,3,Green,5,Specialty Grade,0
182,Honduras,69 kg,Catuai,Washed / Wet,0.11,0,1,Green,2,Specialty Grade,1.5
183,Colombia,70 kg,,,0,0,2,,4,Specialty Grade,0
184,Colombia,70 kg,Caturra,Natural / Dry,0.11,6,0,Green,0,Specialty Grade,0.4
185,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Green,0,Specialty Grade,1.8
186,Mexico,80 kg,Typica,Washed / Wet,0.12,0,0,Blue-Green,1,Specialty Grade,1.7
187,Brazil,60 kg,Yellow Bourbon,,0,0,0,,4,Specialty Grade,1.3
188,Brazil,60 kg,,,0.02,0,0,,2,Specialty Grade,1.1
189,Ethiopia,132 lbs,,,0,0,0,,1,Specialty Grade,0.5
190,Guatemala,1,,,0.04,1,0,,1,Specialty Grade,0.4
191,Taiwan,5 kg,Typica,Washed / Wet,0.12,0,0,Blue-Green,0,Specialty Grade,1
192,Thailand,25 kg,Catimor,Natural / Dry,0.12,0,0,Green,0,Specialty Grade,1.2
193,Colombia,70 kg,Caturra,Natural / Dry,0.11,0,0,Green,2,Specialty Grade,2.6
194,Guatemala,69 kg,Caturra,Washed / Wet,0.11,0,4,Green,4,Specialty Grade,1.5
195,Guatemala,69 kg,Caturra,Washed / Wet,0.1,0,0,Green,1,Specialty Grade,0.3
196,China,60 kg,Catimor,Natural / Dry,0.1,0,0,Green,1,Specialty Grade,1.4
197,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,3,Specialty Grade,1.8
198,Colombia,70 kg,Caturra,Washed / Wet,0.12,4,0,Green,2,Specialty Grade,1.8
199,Colombia,2 kg,Other,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1.8
200,Colombia,70 kg,Caturra,Natural / Dry,0.12,3,0,Green,0,Specialty Grade,0.4
201,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.12,0,0,Green,7,Specialty Grade,1.6
202,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.12,0,0,Green,2,Specialty Grade,1.6
203,Guatemala,69 kg,Bourbon,Other,0.1,0,0,Green,1,Specialty Grade,0.4
204,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,1.7
205,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0.11,1,0,Bluish-Green,1,Specialty Grade,0
206,Mexico,1 kg,Typica,Semi-washed / Semi-pulped,0.12,0,0,Green,1,Specialty Grade,1.4
207,Mexico,1 kg,Bourbon,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1.2
208,Mexico,1 kg,Bourbon,Washed / Wet,0.1,0,0,Bluish-Green,4,Specialty Grade,1.4
209,Uganda,60 kg,Other,Natural / Dry,0.13,4,0,Green,29,Specialty Grade,1.7
210,Guatemala,69 kg,Bourbon,Washed / Wet,0.13,0,0,Green,1,Specialty Grade,1.7
211,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Green,2,Specialty Grade,0
212,Costa Rica,69 kg,Caturra,Washed / Wet,0.09,0,0,Bluish-Green,2,Specialty Grade,1.7
213,Guatemala,69 kg,Caturra,Washed / Wet,0.11,0,0,Green,6,Specialty Grade,0.3
214,Guatemala,69 kg,Caturra,Washed / Wet,0.1,0,1,Green,10,Specialty Grade,1.6
215,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,0,Green,2,Specialty Grade,3.3
216,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Bluish-Green,0,Specialty Grade,1.8
217,Nicaragua,2 kg,Caturra,Natural / Dry,0.12,0,0,Bluish-Green,0,Specialty Grade,1
218,Brazil,59 kg,Catuai,Natural / Dry,0,0,0,,16,Specialty Grade,1.2
219,Costa Rica,69 kg,Caturra,Washed / Wet,0,0,0,Blue-Green,0,Specialty Grade,1.9
220,Ethiopia,60 kg,Gesha,Natural / Dry,0.1,0,0,Green,5,Specialty Grade,1.6
221,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.13,0,0,Green,0,Specialty Grade,1.4
222,Colombia,1 kg,Other,Washed / Wet,0.12,0,0,Green,4,Specialty Grade,1.5
223,Guatemala,5 lbs,,Washed / Wet,0.11,0,0,Bluish-Green,0,Specialty Grade,0
224,Kenya,18000 kg,SL28,Washed / Wet,0.08,0,0,Green,0,Specialty Grade,0.3
225,Brazil,2 kg,Mundo Novo,Natural / Dry,0.11,0,0,Green,3,Specialty Grade,1
226,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,4,Specialty Grade,0.4
227,El Salvador,2 kg,Bourbon,Natural / Dry,0.11,0,0,Bluish-Green,2,Specialty Grade,1.5
228,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Green,2,Specialty Grade,1.8
229,Guatemala,1 kg,Catuai,Natural / Dry,0.11,0,0,Bluish-Green,2,Specialty Grade,0
230,Uganda,60 kg,Other,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,1.6
231,Indonesia,2 kg,Mandheling,Natural / Dry,0.12,0,0,Bluish-Green,0,Specialty Grade,0
232,Colombia,70 kg,Caturra,Washed / Wet,0,1,3,Green,3,Specialty Grade,0.4
233,Taiwan,20 kg,Typica,Washed / Wet,0.1,0,0,Bluish-Green,4,Specialty Grade,1
234,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,0,Green,4,Specialty Grade,0
235,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,,2,Specialty Grade,1.8
236,Guatemala,2 kg,Bourbon,Washed / Wet,0.1,0,0,Bluish-Green,10,Specialty Grade,1.6
237,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0.11,1,0,Green,9,Specialty Grade,0
238,Mexico,1 kg,Typica,Washed / Wet,0.11,1,0,Green,10,Specialty Grade,1.5
239,Ethiopia,60 kg,Other,Natural / Dry,0.09,0,0,,15,Specialty Grade,1.8
240,Costa Rica,150 lbs,,Washed / Wet,0.08,1,2,None,13,Specialty Grade,0
241,Ethiopia,60 kg,Gesha,Natural / Dry,0.11,3,11,Green,1,Specialty Grade,1.8
242,Honduras,66 kg,Caturra,Washed / Wet,0.1,0,0,Green,5,Specialty Grade,1.5
243,Guatemala,69 kg,Caturra,Washed / Wet,0.12,0,0,Green,7,Specialty Grade,0.5
244,Colombia,1 kg,Other,Washed / Wet,0.11,2,0,Green,7,Specialty Grade,1.6
245,Guatemala,69 kg,Bourbon,Natural / Dry,0.1,0,0,Green,1,Specialty Grade,0.4
246,Guatemala,69 kg,Bourbon,Other,0.1,0,0,Green,0,Specialty Grade,0.4
247,Colombia,1 kg,,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1.5
248,Colombia,70 kg,Caturra,Natural / Dry,0.12,0,0,Green,0,Specialty Grade,1.4
249,Colombia,70 kg,Caturra,Washed / Wet,0.12,0,0,Green,3,Specialty Grade,1.8
250,Ethiopia,60 kg,Other,Natural / Dry,0.09,4,0,Green,40,Specialty Grade,1.6
251,Brazil,60 kg,Yellow Bourbon,Natural / Dry,0.1,0,0,Green,0,Specialty Grade,1.3
252,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,1.7
253,Kenya,60 kg,SL34,Washed / Wet,0,0,0,Green,2,Specialty Grade,1.2
254,Thailand,1 kg,Other,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,0
255,Kenya,9000 kg,SL28,Washed / Wet,0,0,0,Bluish-Green,0,Specialty Grade,1.7
256,Uganda,60 kg,Other,Washed / Wet,0.1,10,0,Green,26,Specialty Grade,1.7
257,Thailand,60 kg,,,0.06,0,0,,0,Specialty Grade,0
258,Brazil,60 kg,Bourbon,Natural / Dry,0,0,0,Green,3,Specialty Grade,0.9
259,Mexico,69 kg,Mundo Novo,Washed / Wet,0.11,0,0,Green,5,Specialty Grade,1.3
260,Thailand,40 kg,Catimor,Natural / Dry,0.1,0,0,Bluish-Green,1,Specialty Grade,1.4
261,Brazil,60 kg,Bourbon,Natural / Dry,0.11,0,2,Green,7,Specialty Grade,0.9
262,Taiwan,50 kg,Typica,Washed / Wet,0.11,0,0,Green,3,Specialty Grade,1.2
263,Colombia,70 kg,,,0.11,1,0,Green,2,Specialty Grade,0.4
264,Colombia,70 kg,,,0,1,3,,5,Specialty Grade,0
265,Taiwan,2 kg,,Natural / Dry,0,0,0,Blue-Green,0,Specialty Grade,0
266,Colombia,2 kg,,Washed / Wet,0,0,0,,0,Specialty Grade,0
267,Colombia,2 kg,,Washed / Wet,0,1,0,None,1,Specialty Grade,0
268,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Green,1,Specialty Grade,1.8
269,Taiwan,60 kg,Typica,Washed / Wet,0.06,0,0,Green,0,Specialty Grade,1
270,Colombia,70 kg,Caturra,Natural / Dry,0.12,0,0,Green,3,Specialty Grade,1.6
271,Mexico,1 kg,Typica,Washed / Wet,0.12,10,0,Blue-Green,32,Specialty Grade,0.9
272,Mexico,1 kg,Typica,Washed / Wet,0.11,0,0,,2,Specialty Grade,1.5
273,Mexico,1 kg,Typica,Washed / Wet,0,0,0,Green,2,Specialty Grade,1.4
274,Colombia,70 kg,Caturra,Washed / Wet,0,1,0,Green,6,Specialty Grade,2.5
275,Colombia,70 kg,Caturra,,0,1,2,Green,0,Specialty Grade,0
276,Costa Rica,69 kg,Caturra,Washed / Wet,0,0,0,Blue-Green,0,Specialty Grade,1.9
277,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,7,Green,6,Specialty Grade,1.5
278,Taiwan,30 kg,,,0,0,0,,0,Specialty Grade,1.2
279,Brazil,2 kg,Yellow Bourbon,Natural / Dry,0,0,0,Green,0,Specialty Grade,0
280,Taiwan,18 kg,Typica,Washed / Wet,0,0,0,Green,1,Specialty Grade,0.5
281,Ethiopia,60 kg,,Natural / Dry,0.12,0,0,Green,4,Specialty Grade,1.7
282,Brazil,2 kg,Bourbon,Semi-washed / Semi-pulped,0,0,0,Green,1,Specialty Grade,1.2
283,Costa Rica,1 kg,Catuai,Washed / Wet,0.1,0,0,Green,3,Specialty Grade,1.3
284,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,0,Green,1,Specialty Grade,0.4
